"File","Top","GuestOnly"
".easignore",".easignore","False"
".env.example",".env.example","False"
".gitignore",".gitignore","False"
"Adarsh Engine/VERSION.txt","Adarsh Engine","False"
"Adarsh Engine/cleanup_old_service.ps1","Adarsh Engine","False"
"Adarsh Engine/crash_test.ps1","Adarsh Engine","False"
"Adarsh Engine/install_service.bat","Adarsh Engine","False"
"Adarsh Engine/install_svc.ps1","Adarsh Engine","False"
"Adarsh Engine/installer.iss","Adarsh Engine","False"
"Adarsh Engine/installer/PassportEngine.iss","Adarsh Engine","False"
"Adarsh Engine/installer/VERSION.txt","Adarsh Engine","False"
"Adarsh Engine/main.py","Adarsh Engine","False"
"Adarsh Engine/make_icon.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/__init__.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/__main__.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/adjustments.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/compressor.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/config.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/engine.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/extractor.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/page_photo_picker.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/processor.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/renamer.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/__init__.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/auto_adjust_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/common.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/compressor_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/cropper_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/editor_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/face_aware_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/file_ops_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/page_picker_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/preview_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/services/renamer_service.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/task_manager.py","Adarsh Engine","False"
"Adarsh Engine/passport_engine_core/validators.py","Adarsh Engine","False"
"Adarsh Engine/query","Adarsh Engine","False"
"Adarsh Engine/redeploy_service.ps1","Adarsh Engine","False"
"Adarsh Engine/requirements.txt","Adarsh Engine","False"
"Adarsh Engine/setup_and_install.bat","Adarsh Engine","False"
"Adarsh Engine/setup_service.ps1","Adarsh Engine","False"
"Adarsh Engine/sign_self.ps1","Adarsh Engine","False"
"Adarsh Engine/uninstall_service.bat","Adarsh Engine","False"
"Adarsh Engine/version_info.txt","Adarsh Engine","False"
"Adarsh ID Cards Web","Adarsh ID Cards Web","False"
"BUILD_CONFIGURATION.md","BUILD_CONFIGURATION.md","False"
"MOBILE_APP_ALL_PAGES_COMPLETE.md","MOBILE_APP_ALL_PAGES_COMPLETE.md","False"
"MOBILE_APP_PAGES_FIXES.md","MOBILE_APP_PAGES_FIXES.md","False"
"MOBILE_APP_REDESIGN_SUMMARY.md","MOBILE_APP_REDESIGN_SUMMARY.md","False"
"MOBILE_APP_TESTING_CHECKLIST.md","MOBILE_APP_TESTING_CHECKLIST.md","False"
"MOBILE_HOME_SCREEN_EXECUTIVE_SUMMARY.md","MOBILE_HOME_SCREEN_EXECUTIVE_SUMMARY.md","False"
"MOBILE_HOME_SCREEN_QUICK_REFERENCE.md","MOBILE_HOME_SCREEN_QUICK_REFERENCE.md","False"
"MOBILE_HOME_SCREEN_REDESIGN_COMPLETE.md","MOBILE_HOME_SCREEN_REDESIGN_COMPLETE.md","False"
"MOBILE_HOME_SCREEN_ROLES.md","MOBILE_HOME_SCREEN_ROLES.md","False"
"MOBILE_HOME_SCREEN_TESTING.md","MOBILE_HOME_SCREEN_TESTING.md","False"
"MOBILE_RELEASE_GUIDE.md","MOBILE_RELEASE_GUIDE.md","False"
"README.md","README.md","False"
"VERSION.txt","VERSION.txt","False"
"VERSION_LOG.md","VERSION_LOG.md","False"
"accounts/services.py","accounts","False"
"accounts/signals.py","accounts","False"
"accounts/tests.py","accounts","False"
"accounts/views.py","accounts","False"
"adarsh_native_app/.easignore","adarsh_native_app","False"
"adarsh_native_app/.env.example","adarsh_native_app","False"
"adarsh_native_app/.expo/README.md","adarsh_native_app","False"
"adarsh_native_app/.expo/devices.json","adarsh_native_app","False"
"adarsh_native_app/App.js","adarsh_native_app","False"
"adarsh_native_app/android/app/build.gradle","adarsh_native_app","False"
"adarsh_native_app/android/app/src/debug/AndroidManifest.xml","adarsh_native_app","False"
"adarsh_native_app/android/app/src/main/AndroidManifest.xml","adarsh_native_app","False"
"adarsh_native_app/android/app/src/main/assets/index.android.bundle","adarsh_native_app","False"
"adarsh_native_app/android/app/src/main/java/com/adarshid/app/MainActivity.kt","adarsh_native_app","False"
"adarsh_native_app/android/app/src/main/res/values-night/colors.xml","adarsh_native_app","False"
"adarsh_native_app/android/app/src/main/res/values/colors.xml","adarsh_native_app","False"
"adarsh_native_app/android/app/src/main/res/values/styles.xml","adarsh_native_app","False"
"adarsh_native_app/android/build.gradle","adarsh_native_app","False"
"adarsh_native_app/android/gradle.properties","adarsh_native_app","False"
"adarsh_native_app/android/keystore.properties","adarsh_native_app","False"
"adarsh_native_app/android/link-assets-manifest.json","adarsh_native_app","False"
"adarsh_native_app/android_backup/.gradle/buildOutputCleanup/cache.properties","adarsh_native_app","False"
"adarsh_native_app/android_backup/keystore.properties","adarsh_native_app","False"
"adarsh_native_app/app.json","adarsh_native_app","False"
